14,17,蚱蜢：游戏、生命与乌托邦,【美】伯纳德?舒兹,台版豆瓣9.2分！驳倒了维特根斯坦！游戏运动哲学史上经典之作！多伦多大学名誉校长，剑桥大学、耶鲁大学知名哲学教授强烈推荐！玩游戏，就是自愿去克服非必要的障碍。游戏是未来的线索。,37.50,img3m8.ddimg.cn/20/31/29406188-1_u_14.jpg,img3m8.ddimg.cn/20/31/29406188-2_u_14.jpg,img3m8.ddimg.cn/20/31/29406188-4_u_8.jpg
15,18,考古纪事本末.贰：三星堆之惑,"许宏，汉唐阳光 出品",从中原到蜀中，资深考古人许宏的一次“跨域围观”,29.00,img3m8.ddimg.cn/36/16/29422638-1_w_5.jpg,img3m8.ddimg.cn/36/16/29422638-2_u_3.jpg,img3m8.ddimg.cn/36/16/29422638-3_u_2.jpg
16,18,"国家宝藏 瓷器改变世界",江建新,周详系统展示中国外销瓷盛景。六大洲40多家博物馆珍藏的450余幅精美中国外销瓷藏品，讲述中国瓷器的世界影响力,49.90,img3m1.ddimg.cn/42/14/29460561-1_u_5.jpg,img3m1.ddimg.cn/42/14/29460561-2_u_5.jpg,img3m1.ddimg.cn/42/14/29460561-3_u_5.jpg
86,19,成年人的世界没有容易二字,"老杨的猫头鹰，果麦文化 出品",毒到人间清醒，字字对症下药；脱口秀式表达，真的能笑出声。25个有共鸣的故事，送给不想长大的成年人和刚刚过期的小朋友。涵盖青春、成长、情感、职场等。及时止损、停止内耗，把鸡毛蒜皮过成风和日丽。果麦出品,22.50,img3m4.ddimg.cn/23/6/29335604-1_w_7.jpg,img3m4.ddimg.cn/23/6/29335604-3_u_6.jpg,img3m4.ddimg.cn/23/6/29335604-5_u_6.jpg
87,19,我离开之后：一个母亲写给女儿的人生指南，以及那些来不及说的爱与牵挂！,[美]苏西·霍普金斯著,"火爆全球的WHAT TO DO WHEN I'M GONE简体中文版震撼上市！感人至深的生死笔记，两代共读的人生之书！时间不是无限的，要“善待”家人，而不是“等待”。愿活着的人有勇气，离开的人无牵挂。",31.90,img3m3.ddimg.cn/89/34/29115593-1_w_28.jpg,img3m3.ddimg.cn/89/34/29115593-3_u_27.jpg,img3m3.ddimg.cn/89/34/29115593-4_u_29.jpg
88,20,人间值得,"[日]中村恒子（恒子奶奶）著，紫图图书 出品",宝藏奶奶的人生36条感悟，正面解读工作、家庭、人际关系、孤独、死亡等人生课题，给人直面生活的勇气，愿每个人都能从人间失格直至人间值得！愿你遍历山河，仍觉人间值得！,24.90,img3m6.ddimg.cn/39/17/27931206-1_w_582.jpg,img3m6.ddimg.cn/39/17/27931206-2_u_47.jpg,img3m6.ddimg.cn/39/17/27931206-4_u_43.jpg
89,20,生活需要高级感：唤醒你心中热爱生活的力量,"小野 著，紫图出品",人民日报推荐！写给现代女性的觉醒之书！真正的高级，不是物质的堆砌，而是找到内心的爱与自由。从细节出发，让你方方面面升级换代，给不甘平凡的你，高配生活法则。,23.90,img3m7.ddimg.cn/91/34/27950167-1_u_7.jpg,img3m7.ddimg.cn/91/34/27950167-2_u_13.jpg,img3m7.ddimg.cn/91/34/27950167-5_u_16.jpg
90,21,NBA历史500巨星：全新升级版,"艾伦·斯塔克 著,傅婧瑛/佘琳琦 译",500名球星无死角解读，全新升级版，更新500余幅精美大图，入选库里、杜兰特、哈登新生代核心。,32.60,img3m3.ddimg.cn/32/28/25247903-1_w_3.jpg,img3m3.ddimg.cn/32/28/25247903-3_u_3.jpg,img3m3.ddimg.cn/32/28/25247903-5_u_3.jpg
91,21,诸神世界杯：世界杯风云+你好，世界杯+诸神黄昏（套装3册）,于鑫淼、王正坤、黄轶文、流年,"2022年卡塔尔世界杯。注定将是一个新时代的开始，也注定将是一个旧时代的终结。被终结的，是一个诸神并立的黄金时代。 全景回顾世界杯发展历程，细数从 1930 年到 2018 年历届世界杯的精彩瞬间、球员轶事、足球发展 等。 ? 文字细致平实、有感染力，兼顾细节描绘与宏观叙事，对球星和赛事进行深入浅出的介绍和分析，展示 赛场内外的风云际会，致力于使读者对世界杯足球赛有更加全方位、立体化的认识和了解。",138.00,img3m7.ddimg.cn/31/5/29464807-1_u_10.jpg,img3m7.ddimg.cn/31/5/29464807-2_u_6.jpg,img3m7.ddimg.cn/31/5/29464807-4_u_6.jpg
92,22,"故宫宴 ","苑洪琪，顾玉亮 著 苏徵楼 绘",人间烟火，紫禁风味。80余篇御膳档案+80余道复原美食+48种手绘荐新食材，打开故宫宴看康乾盛世、嫔妃喜乐、宴会庆典、文脉传承。方文山、马伯庸、王小丫邀您一起赴宴“好吃的”故宫。,61.40,img3m8.ddimg.cn/32/1/29188598-3_u_36.jpg,img3m8.ddimg.cn/32/1/29188598-2_u_36.jpg,img3m8.ddimg.cn/32/1/29188598-4_u_36.jpg
