"id","name","author","profile","price","image1","image2","image3","category_id","sales","stock"
35,"哆啦A梦教你50音图 初级儿童日语启蒙","藤子·F·不二雄","和哆啦A梦一起学习五十音图",83.0,"img3m6.ddimg.cn/60/10/1473324396-1_w_3.jpg","img3m6.ddimg.cn/60/10/1473324396-3_u_2.jpg","img3m6.ddimg.cn/60/10/1473324396-5_u_1.jpg",28,0,0
36,"藤本树短篇集","藤本タツキ","进口日文原版 日版漫画 集英社 JUMP 动漫ACG",35.3,"img3m4.ddimg.cn/49/17/695641864-1_w_5.jpg","img3m4.ddimg.cn/49/17/695641864-2_u_5.jpg","img3m4.ddimg.cn/49/17/695641864-4_u_4.jpg",28,0,0
37,"周杰伦新专辑最伟大的作品CD","周杰伦","2022新专辑实体光盘正版cd碟片 进口版",203.84,"img3m9.ddimg.cn/27/17/11180366829-1_u_17.jpg","img3m9.ddimg.cn/27/17/11180366829-2_u_13.jpg","img3m9.ddimg.cn/27/17/11180366829-5_u_13.jpg",29,0,0
38,"李健专辑正版cd流行民谣歌曲","李健","无损音质黑胶唱片音乐光盘车载CD碟片",69.0,"img3m0.ddimg.cn/46/19/1682191810-1_u_2.jpg","img3m0.ddimg.cn/46/19/1682191810-2_u_1.jpg","",29,0,0
39,"变异狂鲨（DVD9）","德克兰·奥布莱恩","豆瓣拒绝评分",25.2,"img3m4.ddimg.cn/77/16/23051534-1_w_2.jpg","","",30,0,0
40,"蜘蛛侠三部曲","漫威","漫威超级英雄电影蜘蛛侠全集",119.7,"img3m8.ddimg.cn/88/30/23213608-1_w_2.jpg","","",30,0,0
41,"小古文启蒙：小学文言文阅读与训练（赠朗诵音频）","项晓红","经典选文 清浅有趣 有声伴读 扫码即听 漫画图解 快速入门 全文翻译 通俗易懂 文言知识 随文详解 配套练习 科学合理 文言语感启蒙佳作 初学文言文范本 提前做好小升初衔接",21.0,"img3m2.ddimg.cn/12/20/25086612-1_u_2.jpg","img3m2.ddimg.cn/12/20/25086612-2_u_4.jpg","img3m2.ddimg.cn/12/20/25086612-3_u_3.jpg",13,0,0
42,"小鸟的晨歌 语文素养读本（丛书）小学卷1","北京大学语文教育研究所组","义教语文课标专家组组长、统编语文教材总主编温儒敏组织编写",22.8,"img3m1.ddimg.cn/75/22/23680281-1_u_8.jpg","img3m1.ddimg.cn/75/22/23680281-3_u_3.jpg","img3m1.ddimg.cn/75/22/23680281-4_u_3.jpg",13,0,0
43,"金英语——初中英语语法与词汇2000题","金光辉","《金英语 初中英语语法与词汇2000题(附详解第四版)》是根据国家教育部颁布的《中学英语教学大纲》、《全日制初级中学英语教科书》、《初中英语词汇总表》以及近几年全国部分地区中考英语试卷编写，所选题目既有普遍性又有典型性，能让广大初中学生全面、系统地熟悉和掌握初中英语语法和词汇。",23.2,"img3m9.ddimg.cn/6/5/22930089-1_w_5.jpg","img3m9.ddimg.cn/6/5/22930089-3_u_4.jpg","img3m9.ddimg.cn/6/5/22930089-4_u_3.jpg",13,0,0
44,"与经典面对面：高中课外文言文精选精练精讲","陈湘","1、本书是目前针对新版高中教材推出来的同步配套写作教程，目前市场尚无同类产品。 2、高中教材改版，增加很多新文体，同时对写作也提出了更高要求。面对新版教材，怎么教作文，怎么写作文，都是亟需探索和解决的问题，本教程是这一探索的先行者，是满足目前高中师生的普遍期待。 3、图书章节与新版教材一一对应，极具针对性。是在读熟、读透课本的前提下，进行的针对性写作训练，具有很强的实战性。",22.6,"img3m7.ddimg.cn/21/7/24164337-1_w_5.jpg","","",13,0,0
45,"习近平法治思想概论","《习近平法治思想概论》编写组","深入了解习近平法治思想",37.2,"img3m0.ddimg.cn/39/13/29299980-1_u_6.jpg","img3m0.ddimg.cn/39/13/29299980-2_u_6.jpg","",14,0,0
46,"同济大学数学系列教材 概率论与数理统计","同济大学数学系","增加章前导读及扩展阅读，细化考研题目，配套辅导教材，以二维码方式提供微课视频，轻松实现重点难点突破",24.9,"img3m6.ddimg.cn/43/36/24225046-1_w_6.jpg","","",14,0,0
47,"备考2022年12月星火英语四级考试真题试卷全套","汪开虎","1. 图书配套App，提供智能过级解决方案：字幕听力、真题视频、提分练习、智能评分、高频词汇。 2.真题 模拟的组合试卷，12套真题 5套模拟 8套刷题卷，超大题量， 练 成学霸。赠品丰富：12套听力、30篇预测作文、词汇。 3. 图书与网课、套题与专项、音频与视频相结合，全方位提高学习效率。 4. 配套电子试卷，集测评、解题、查看成绩排名等各种功能于一体。",32.9,"img3m9.ddimg.cn/59/5/29419889-1_u_15.jpg","img3m9.ddimg.cn/59/5/29419889-3_u_15.jpg","img3m9.ddimg.cn/59/5/29419889-5_u_12.jpg",14,0,0
